"metric","normal_all","normal_ueff_uloss","normal_unet_uloss","normal_unet_ueff","patologic_all","patologic_ueff_uloss","patologic_unet_uloss","patologic_unet_ueff","all","ueff_uloss","unet_uloss","unet_ueff"
"dice_coef_loss","0.013860535114452","1","0.105031980594199","8.65205682152048e-06","0.0437601252764776","1","0.105031980594199","8.65205682152048e-06","0.000717311760109307","1","0.105031980594199","8.65205682152048e-06"
"loss_mask","0.0478348894941984","1","0.496020058214767","8.65205682152048e-06","0.0888642671760099","1","0.496020058214767","8.65205682152048e-06","0.00246901886913196","1","0.496020058214767","8.65205682152048e-06"
"accuracy","0.0138605351144519","1","0.112557525001303","8.65205682152048e-06","0.0478348894941981","1","0.112557525001303","8.65205682152048e-06","0.000755326346008673","1","0.112557525001303","8.65205682152048e-06"
"AUC","0.0888642671760099","1","0.541670790331708","8.65205682152048e-06","0.0888642671760099","1","0.541670790331708","8.65205682152048e-06","0.00269004534958031","1","0.541670790331708","8.65205682152048e-06"
"false_positives","0.170938469810265","1","1","0.000773921424886265","0.0665582736632787","1","1","0.000773921424886265","0.0247453131567543","1","1","0.000773921424886265"
"false_negatives","0.00498837456235436","0.167665316710149","0.289498657308301","0.000238135049761495","0.00390883411783039","0.167665316710149","0.289498657308301","0.000238135049761495","0.000975119217900017","0.167665316710149","0.289498657308301","0.000238135049761495"
"doble_loss","0.0363399093803882","1","0.324231221740532","8.65205682152048e-06","0.0773047404432996","1","0.324231221740532","8.65205682152048e-06","0.00172823307262418","1","0.324231221740532","8.65205682152048e-06"
"dice","0.0138605351144519","1","0.105031980594199","8.65205682152048e-06","0.0437601252764776","1","0.105031980594199","8.65205682152048e-06","0.000717311760109317","1","0.105031980594199","8.65205682152048e-06"
