"model","validation","dice_coef_loss","loss_mask","accuracy","AUC","false_positives","false_negatives","doble_loss","dice"
"unet","all","0.04 (0.034; 0.04)","0.11 (0.096; 0.12)","0.97 (0.966; 0.97)","0.97 (0.966; 0.97)","121330 (113317.5; 141949.5)","153699 (128221; 190864.5)","0.15 (0.131; 0.15)","0.96 (0.959; 0.97)"
"uloss","all","0.11 (0.042; 0.27)","0.23 (0.109; 0.46)","0.91 (0.78; 0.97)","0.91 (0.75; 0.97)","124127.5 (117723.5; 1446210.5)","192779 (155779.5; 450862.5)","0.35 (0.151; 0.72)","0.89 (0.733; 0.96)"
"ueff","all","0.07 (0.065; 0.08)","0.18 (0.171; 0.21)","0.95 (0.94; 0.95)","0.95 (0.945; 0.95)","221426.5 (193584.5; 296412)","282155 (236607.5; 361753.5)","0.24 (0.237; 0.28)","0.93 (0.924; 0.93)"
"unet","normal","0.04 (0.04; 0.2)","0.11 (0.107; 0.33)","0.97 (0.783; 0.97)","0.97 (0.808; 0.97)","112684.5 (105156.5; 1236398.5)","107559 (99929; 181187)","0.15 (0.147; 0.53)","0.96 (0.8; 0.96)"
"uloss","normal","0.11 (0.042; 0.52)","0.23 (0.107; 0.55)","0.91 (0.722; 0.97)","0.91 (0.733; 0.97)","124127.5 (105720; 1364505.5)","116948 (110117; 1377799.5)","0.35 (0.149; 1.07)","0.89 (0.48; 0.96)"
"ueff","normal","0.07 (0.065; 0.09)","0.18 (0.171; 0.22)","0.94 (0.929; 0.95)","0.95 (0.939; 0.95)","176443 (139329; 221836)","202201.5 (179864.5; 227163.5)","0.25 (0.236; 0.3)","0.93 (0.912; 0.94)"
"unet","patologic","0.03 (0.03; 0.2)","0.09 (0.086; 0.33)","0.98 (0.785; 0.98)","0.97 (0.812; 0.98)","139469.5 (121546; 2465706.5)","199778 (172935; 337973)","0.12 (0.116; 0.53)","0.97 (0.802; 0.97)"
"uloss","patologic","0.11 (0.031; 0.51)","0.23 (0.085; 0.53)","0.91 (0.726; 0.98)","0.91 (0.737; 0.98)","127584.5 (106577; 2688288)","216071.5 (193689.5; 2674945.5)","0.34 (0.116; 1.04)","0.89 (0.485; 0.97)"
"ueff","patologic","0.07 (0.063; 0.09)","0.18 (0.163; 0.22)","0.95 (0.929; 0.95)","0.95 (0.939; 0.95)","314678.5 (242456.5; 467555)","403460.5 (342314; 461642)","0.24 (0.225; 0.31)","0.93 (0.909; 0.94)"
